"","Zipcode","City","State","Lat","Long","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"13188",50682,"WINTHROP","IA",42.47,-91.73,696,1296,21644846
"13192",50276,"WOODWARD","IA",41.85,-93.92,1054,1857,43002915
"13194",52078,"WORTHINGTON","IA",42.39,-91.12,431,796,12895310
"13195",52362,"WYOMING","IA",42.06,-91,477,831,13692339
"13197",50278,"ZEARING","IA",42.15,-93.29,380,697,11630584
"13198",52079,"ZWINGLE","IA",42.29,-90.68,386,686,11764016
"13199",55909,"ADAMS","MN",43.56,-92.71,665,1206,20104163
"13200",56110,"ADRIAN","MN",43.63,-95.93,923,1666,25663797
"13202",55001,"AFTON","MN",44.9,-92.81,1497,2750,105647705
"13203",56431,"AITKIN","MN",46.53,-93.71,4014,7072,103628432
"13204",56433,"AKELEY","MN",47,-94.72,704,1211,15363996
"13205",56307,"ALBANY","MN",45.63,-94.56,2291,4213,81565250
"13207",56007,"ALBERT LEA","MN",43.65,-93.36,10412,17858,313785927
"13208",55301,"ALBERTVILLE","MN",45.23,-93.66,4435,8310,223927622
"13209",56009,"ALDEN","MN",43.67,-93.57,789,1471,22601378
"13211",56308,"ALEXANDRIA","MN",45.87,-95.37,11760,20392,411509071
"13213",55910,"ALTURA","MN",44.06,-91.93,715,1303,22966788
"13214",56010,"AMBOY","MN",43.88,-94.15,593,1041,16563255
"13215",55703,"ANGORA","MN",47.77,-92.63,343,624,11291994
"13216",55710,"BRITT","MN",47.64,-92.68,635,1153,27508346
"13217",55302,"ANNANDALE","MN",45.26,-94.11,3309,5958,123194631
"13218",55303,"ANOKA","MN",45.21,-93.39,21908,39074,988577463
"13219",55304,"ANDOVER","MN",45.25,-93.33,21136,40521,1198626851
"13220",56208,"APPLETON","MN",45.2,-96.02,1054,1764,25190244
"13222",55307,"ARLINGTON","MN",44.6,-94.07,1541,2708,50295911
"13223",56309,"ASHBY","MN",46.09,-95.81,599,1080,17825355
"13224",55704,"ASKOV","MN",46.18,-92.78,516,904,15045233
"13225",56209,"ATWATER","MN",45.13,-94.77,1194,2092,35592287
"13226",55705,"AURORA","MN",47.53,-92.24,1497,2605,45774663
"13227",55912,"AUSTIN","MN",43.67,-92.97,13843,23996,457229220
"13229",56310,"AVON","MN",45.6,-94.45,2495,4551,107220237
"13230",55706,"BABBITT","MN",47.64,-91.94,873,1520,21860361
"13231",56435,"BACKUS","MN",46.82,-94.51,1114,1961,24090206
"13232",56621,"BAGLEY","MN",47.52,-95.4,1965,3543,55630939
"13233",56115,"BALATON","MN",44.23,-95.87,671,1176,19547722
"13234",55707,"BARNUM","MN",46.5,-92.68,1454,2707,50628077
"13235",56311,"BARRETT","MN",45.91,-95.89,327,590,8180103
"13236",56623,"BAUDETTE","MN",48.71,-94.58,1395,2425,37453913
"13237",55003,"BAYPORT","MN",45.01,-92.78,1048,1707,37559069
"13240",56116,"BEAVER CREEK","MN",43.61,-96.36,267,496,9014979
"13241",55308,"BECKER","MN",45.37,-93.87,3723,7337,177168055
"13242",56312,"BELGRADE","MN",45.45,-94.99,1113,1997,33075818
"13243",56011,"BELLE PLAINE","MN",44.62,-93.76,4038,7401,177148708
